Sample ID	Feature name	ARA variant	ARZ variant	MSA	DA	Word order	Gender	English
1	Present progressive	"ɸ
Ylab (plays)"	"b-
b-ylab"	يقول الولد الحقيقة	بيقول الولد الحقيقة	VSO	M	The boy is saying the truth
1	Present progressive	"ɸ
Ylab (plays)"	"b-
b-ylab"	تقول البنت الحقيقة	بتقول البنت الحقيقة	VSO	F	The girl is saying the truth
1	Present progressive	"ɸ
Ylab (plays)"	"b-
b-ylab"	الولد يقول الحقيقة	الولد بيقول الحقيقة	SVO	M	The boy is saying the truth
1	Present progressive	"ɸ
Ylab (plays)"	"b-
b-ylab"	البنت تقول الحقيقة	البنت بتقول الحقيقة	SVO	F	The girl is saying the truth
2a	Future Morpheme	"Sawf OR s-
S-ylab (will play)"	"H- h- (ح - ه)
h-ylab"	سيقول الولد الحقيقة	هيقول الولد الحقيقة	VSO	M	The boy will say the truth
2a	Future Morpheme	"Sawf OR s-
S-ylab (will play)"	"H- h- (ح - ه)
h-ylab"	ستقول البنت الحقيقة	هتقول البنت الحقيقة	VSO	F	The girl will say the truth
2a	Future Morpheme	"Sawf OR s-
S-ylab (will play)"	"H- h- (ح - ه)
h-ylab"	الولد سيقول الحقيقة	الولد هيقول الحقيقة	SVO	M	The boy will say the truth
2a	Future Morpheme	"Sawf OR s-
S-ylab (will play)"	"H- h- (ح - ه)
h-ylab"	البنت ستقول الحقيقة	البنت هتقول الحقيقة	SVO	F	The girl will say the truth
2b	Future Morpheme	"Sawf OR s-
S-ylab (will play)"	"H- h- (ح - ه)
h-ylab"	سيقول الولد الحقيقة	حيقول الولد الحقيقة	VSO	M	The boy will say the truth
2b	Future Morpheme	"Sawf OR s-
S-ylab (will play)"	"H- h- (ح - ه)
h-ylab"	ستقول البنت الحقيقة	حتقول البنت الحقيقة	VSO	F	The girl will say the truth
2b	Future Morpheme	"Sawf OR s-
S-ylab (will play)"	"H- h- (ح - ه)
h-ylab"	سيقول الولد الحقيقة	الولد حيقول الحقيقة	SVO	M	The boy will say the truth
2b	Future Morpheme	"Sawf OR s-
S-ylab (will play)"	"H- h- (ح - ه)
h-ylab"	البنت ستقول الحقيقة	البنت حتقول الحقيقة	SVO	F	The girl will say the truth
3a	Passive formation	"Using a short diactric

Loab (was played)"	"Using At or En


At-Lab En-Lab"	قيلت الحقيقة	اتقالت الحقيقة	VO	B	The truth was said
3a	Passive formation	"Using a short diactric

Loab (was played)"	"Using At or En


At-Lab En-Lab"	الحقيقة قيلت	الحقيقة اتقالت	OV	B	The truth was said
3b	Passive formation	"Using a short diactric

Loab (was played)"	"Using At or En


At-Lab En-Lab"	قيلت الحقيقة	انقالت الحقيقة	VO	B	The truth was said
3b	Passive formation	"Using a short diactric

Loab (was played)"	"Using At or En


At-Lab En-Lab"	الحقيقة قيلت	الحقيقة انقالت	VO	B	The truth was said
4a	Negation	"Lam

Lam ylab (didn’t play)"	"Ma- + -sh

Ma-lab-sh"	لا يقول الولد الحقيقة	مبيقلش الولد الحقيقة	VSO	M	The boy is not saying the truth
4a	Negation	"Lam

Lam ylab (didn’t play)"	"Ma- + -sh

Ma-lab-sh"	لا تقول البنت الحقيقة	مبتقلش البنت الحقيقة	VSO	F	The girl is not saying the truth
4a	Negation	"Lam

Lam ylab (didn’t play)"	"Ma- + -sh

Ma-lab-sh"	الولد لا يقول الحقيقة	الولد مبيقلش الحقيقة	SVO	M	The boy is not saying the truth
4a	Negation	"Lam

Lam ylab (didn’t play)"	"Ma- + -sh

Ma-lab-sh"	البنت لا تقول الحقيقة	البنت مبتقلش الحقيقة	SVO	F	The boy is not saying the truth
4b	Negation	"Lam

Lam ylab (didn’t play)"	"Ma- + -sh

Ma-lab-sh"	لا يقول الولد الحقيقة	مبيقولش الولد الحقيقة	VSO	M	The boy is not saying the truth
